word,predicted_word,x,y,width,height
protected,protected,12,35,101,24
void,void,119,35,48,20
tellAgain(,telAgain(,174,35,110,24
final,final,292,35,59,20
QName,QName,357,35,59,23
message,message,421,35,81,21
),),510,35,12,24
throws,throws,530,35,69,20
RemoteException{,RemoteException{,605,35,178,24
final,final,54,62,59,20
AbstractCoordParticipantProxy,AbstractCoordParticipantProxy,118,62,320,24
proxy,proxy,444,62,58,21
=,=,508,62,16,13
this.getParticipantProxy();,this.getParticipantProxy();,98,89,293,24
if,if,54,143,27,20
(,(,88,143,12,24
-----------,State,108,143,306,24
State.MESSAGE_CANCEL.equals(,MESSAGE_CANCEL.equals,108,143,306,24
message,message,421,143,81,21
)){,)){,510,143,35,24
proxy,proxy,98,170,240,24
proxy.cancelOperation(,canceloperation(,98,170,240,24
-----------,,346,170,48,20
);,);,402,170,22,24
},},55,224,14,24
else,else,76,224,48,20
if,if,130,224,27,20
(,(,164,224,12,24
-----------,State,184,224,348,24
-----------,MESSAGE,184,224,348,24
State.MESSAGE_COMPENSATE.equals(,COMPENSATE.equals(,184,224,348,24
message,message,540,224,81,21
)){,)){,629,224,35,24
proxy,proxy,98,251,283,24
proxy.compensateOperation(,compensateoperation(,98,251,283,24
-----------,,390,251,47,20
);,);,445,251,22,24
},},55,305,14,24
else,else,76,305,48,20
if,if,130,305,27,20
(,(,164,305,12,24
-----------,State,184,305,294,24
State.MESSAGE_CLOSE.equals(,MESSAGE_CLOSE.equalse,184,305,294,24
message,message,486,305,81,21
)){,)){,575,305,35,24
proxy.closeOperation(,proxy.closeoperatione,98,332,229,24
-----------,,336,332,47,20
);,);,391,332,22,24
},},55,386,14,24
else,else,76,386,48,20
if,if,130,386,27,20
(,(,164,386,12,24
-----------,State,184,386,305,24
State.MESSAGE_EXITED.equals(,MESSAGE_EXITED.equals(,184,386,305,24
message,message,497,386,81,21
)){,)){,586,386,35,24
proxy,proxy,98,413,240,24
proxy.exitedOperation(,exitedoperation(,98,413,240,24
-----------,,346,413,48,20
);,);,402,413,22,24
},},55,467,14,24
else,else,76,467,48,20
if,if,130,467,27,20
(,(,164,467,12,24
-----------,State,184,467,316,24
State.MESSAGE_FAULTED.equals(,MESSAGE_FAULTED.equals(,184,467,316,24
message,message,508,467,81,21
)){,)){,597,467,35,24
proxy,proxy,98,494,251,24
proxy.faultedOperation(,faultedoperation(,98,494,251,24
-----------,,357,494,48,20
);,);,413,494,21,24
},},55,548,14,24
else,else,76,548,48,20
if,if,130,548,27,20
(,(,164,548,12,24
-----------,State,184,548,338,24
-----------,MESSAGE,184,548,338,24
State.MESSAGE_GETSTATUS.equals(,GETSTATUS.equals,184,548,338,24
message,message,529,548,81,21
)){,)){,618,548,35,24
proxy,proxy,98,575,272,24
proxy.getStatusOperation(,getstatusoperation,98,575,272,24
-----------,,379,575,48,20
);,);,435,575,21,24
},},55,629,14,24
else{,else{,76,629,59,24
throw,throw,98,656,59,20
new,new,163,656,37,17
IllegalArgumentException(,IllegalArgumentExceptiong,206,656,272,24
"""Sorry,","""Sorry,",488,656,75,24
cannot,cannot,573,656,69,19
tell,tell,649,656,48,20
a,a,702,656,17,17
participant,participant,725,656,122,24
"""","""",855,656,13,13
+,+,875,656,16,16
message,message,897,656,80,21
);,);,986,656,21,24
},},55,683,14,24
},},11,710,15,24
